,genre_ids,original_language,popularity,release_date_x,movie,vote_average,vote_count,tconst,start_year,runtime_minutes,genres,id,release_date_y,production_budget,domestic_gross,worldwide_gross,total_profit,was_it_profitable_domestically
3083,[18],en,8.05,2015-01-30,black or white,6.8,193,tt6270540,2016,135.0,"Action,Drama,Thriller",80,2015-01-30,9000000,21571189,21971021,12971021,True
3084,[18],en,8.05,2015-01-30,black or white,6.8,193,tt2883434,2014,121.0,Drama,80,2015-01-30,9000000,21571189,21971021,12971021,True
3085,[18],en,8.05,2015-01-30,black or white,6.8,193,tt6270540,2016,135.0,"Action,Drama,Thriller",80,2015-01-30,9000000,21571189,21971021,12971021,True
3086,"[10402, 18, 35]",en,8.03,2014-10-17,rudderless,7.4,149,tt1798243,2014,105.0,"Comedy,Drama,Music",78,2014-10-17,5000000,56001,567219,-4432781,False
3087,"[35, 18, 9648]",en,8.022,2015-04-17,while we're young,5.9,609,tt1791682,2014,97.0,"Comedy,Drama,Mystery",45,2015-03-27,10000000,7582065,17503828,7503828,False
3088,"[35, 18, 9648]",en,8.022,2015-04-17,while we're young,5.9,609,tt1791682,2014,97.0,"Comedy,Drama,Mystery",45,2015-03-27,10000000,7582065,17503828,7503828,False
3089,"[36, 18]",en,7.883999999999999,2014-12-19,mr. turner,6.5,301,tt2473794,2014,150.0,"Biography,Drama,History",18,2014-12-19,14000000,3958546,25187026,11187026,False
3090,[35],fr,7.874,2014-09-14,barbecue,5.8,383,tt3202120,2014,98.0,Comedy,32,2014-12-26,10000000,388,247565,-9752435,False
3091,[35],fr,7.874,2014-09-14,barbecue,5.8,383,tt6090268,2017,102.0,Documentary,32,2014-12-26,10000000,388,247565,-9752435,False
3092,[99],en,0.7759999999999999,2017-03-10,barbecue,7.5,13,tt3202120,2014,98.0,Comedy,32,2014-12-26,10000000,388,247565,-9752435,False
3093,[99],en,0.7759999999999999,2017-03-10,barbecue,7.5,13,tt6090268,2017,102.0,Documentary,32,2014-12-26,10000000,388,247565,-9752435,False
3094,"[18, 35]",en,7.845,2014-01-18,wish i was here,6.6,440,tt2870708,2014,106.0,"Comedy,Drama",61,2014-07-18,6000000,3591299,6591365,591365,False
3095,"[35, 18, 80]",en,7.8210000000000015,2014-03-14,veronica mars,6.7,699,tt2771372,2014,107.0,"Crime,Drama,Mystery",63,2014-03-14,6000000,3322127,3485383,-2514617,False
3096,[18],en,7.771,2014-05-16,million dollar arm,6.8,353,tt1647668,2014,124.0,"Biography,Drama,Sport",17,2014-05-16,25000000,36447959,39217912,14217912,True
3097,"[10749, 18]",en,7.717,2014-11-14,beyond the lights,7.0,238,tt3125324,2014,116.0,"Drama,Music,Romance",16,2014-11-14,7000000,14618727,14618727,7618727,True
3098,"[10749, 18]",en,7.717,2014-11-14,beyond the lights,7.0,238,tt3125324,2014,116.0,"Drama,Music,Romance",16,2014-11-14,7000000,14618727,14618727,7618727,True
3099,[18],pl,7.568,2014-05-02,ida,7.3,455,tt2718492,2013,82.0,Drama,3,2014-05-02,2600000,3827060,15298355,12698355,True
3100,"[16, 35, 18, 10751]",en,7.51,2014-11-07,feast,8.0,578,tt4282670,2014,87.0,Horror,60,2006-09-22,3200000,56131,690872,-2509128,False
